Number,Symbol,Name,Electronegativity,Mass
1,H,Hydrogen,2.2,1.008
2,He,Helium,,4.003
3,Li,Lithium,0.98,6.941
4,Be,Beryllium,1.57,9.012
5,B,Boron,2.04,10.811
6,C,Carbon,2.55,12.011
7,N,Nitrogen,3.04,14.007
8,O,Oxygen,3.44,15.999
9,F,Fluorine,3.98,18.998
10,Ne,Neon,,20.18
11,Na,Sodium,0.93,22.99
12,Mg,Magnesium,1.31,24.305
13,Al,Aluminium,1.61,26.982
14,Si,Silicon,1.9,28.086
15,P,Phosphorus,2.19,30.974
16,Si,Sulfur,2.58,32.066
17,Cl,Chlorine,3.16,35.453
18,Ar,Argon,,39.948
19,K,Potassium,0.82,39.098
20,Ca,Calcium,1,40.078
21,Sc,Scandium,1.36,44.956
22,Ti,Titanium,1.54,47.867
23,V,Vanadium,1.63,50.942
24,Cr,Chromium,1.66,51.996
25,Mn,Manganese,1.55,54.938
26,Fe,Iron,1.83,55.845
27,Co,Cobalt,1.88,58.933
28,Ni,Nickel,1.91,58.693
29,Cu,Copper,1.9,63.546
30,Zn,Zinc,1.65,65.38
31,Ga,Gallium,1.81,69.723
32,Ge,Germanium,2.01,72.631
33,As,Arsenic,2.18,74.922
34,Se,Selenium,2.55,78.971
35,Br,Bromine,2.96,79.904
36,Kr,Krypton,3,83.798
37,Rb,Rubidium,0.82,85.468
38,Sr,Strontium,0.95,87.62
39,Y,Yttrium,1.22,88.906
40,Zr,Zirconium,1.33,91.224
41,Nb,Niobium,1.6,92.906
42,Mo,Molybdenum,2.16,95.95
43,Tc,Technetium,1.9,98.907
44,Ru,Ruthenium,2.2,101.07
45,Rh,Rhodium,2.28,102.906
46,Pd,Palladium,2.2,106.42
47,Ag,Silver,1.93,107.868
48,Cd,Cadmium,1.69,112.414
49,In,Indium,1.78,114.818
50,Sn,Tin,1.96,118.711
51,Sb,Antimony,2.05,121.76
52,Te,Tellurium,2.1,127.6
53,In,Iodine,2.66,126.904
54,Xe,Xenon,2.6,131.293
55,Cs,Cesium,0.79,132.905
56,Ba,Barium,0.89,137.328
57,La,Lanthanum,1.1,138.905
58,Ce,Cerium,1.12,140.116
59,Pr,Praseodymium,1.13,140.908
60,Nd,Neodymium,1.14,144.243
61,Pm,Promethium,1.13,144.913
62,Sm,Samarium,1.17,150.36
63,Eu,Europium,1.2,151.964
64,Gd,Gadolinium,1.2,157.25
65,Tb,Terbium,1.22,158.925
66,Dy,Dysprosium,1.23,162.5
67,Ho,Holmium,1.24,164.93
68,Er,Erbium,1.24,167.259
69,Tm,Thulium,1.25,168.934
70,Yb,Ytterbium,1.1,173.055
71,Lu,Lutetium,1.27,174.967
72,Hf,Hafnium,1.3,178.49
73,Ta,Tantalum,1.5,180.948
74,W,Tungsten,2.36,183.84
75,Re,Rhenium,1.9,186.207
76,Os,Osmium,2.2,190.23
77,Ir,Iridium,2.2,192.217
78,Pt,Platinum,2.28,195.085
79,Au,Gold,2.54,196.967
80,Hg,Mercury,2,200.592
81,Tl,Thallium,1.62,204.383
82,Pb,Lead,2.33,207.2
83,Bi,Bismuth,2.02,208.98
84,Po,Polonium,2,208.982
85,At,Astatine,2.2,209.987
86,Rn,Radon,,222.018
87,Fr,Francium,0.7,223.02
88,Ra,Radium,0.89,226.025
89,Ac,Actinium,1.1,227.028
90,Th,Thorium,1.3,232.038
91,Pa,Protactinium,1.5,231.036
92,U,Uranium,1.38,238.029
93,Np,Neptunium,1.36,237.048
94,Pu,Plutonium,1.28,244.064
95,Am,Americium,1.3,243.061
96,Cm,Curium,1.3,247.07
97,Bk,Berkelium,1.3,247.07
98,Cf,Californium,1.3,251.08
99,Es,Einsteinium,1.3,254
100,Fm,Fermium,1.3,257.095
101,Md,Mendelevium,1.3,258.1
102,No,Nobelium,1.3,259.101
103,Lr,Lawrencium,,262
104,Rf,Rutherfordium,,261
105,Db,Dubnium,,262
106,Sg,Seaborgium,,266
107,Bh,Bohrium,,264
108,Hs,Hassium,,269
109,Mt,Meitnerium,,278
110,Ds,Darmstadtium,,281
111,Rg,Roentgenium,,280
112,Cn,Copernicium,,285
113,Nh,Nihonium,,286
114,Fl,Flerovium,,289
115,Mc,Moscovium,,289
116,Lv,Livermorium,,293
117,Ts,Tennessine,,294
118,Og,Organesson,,294
